brand,car_model,battery_type,fast_charge_port,drivetrain,car_body_type,manufacturing_country,segment,feature,value,value_numeric,is_numeric,feature_type
Aiways,U6,Lithium-ion,CCS,FWD,SUV,China,JC - Medium,cargo_volume_l,472.0,472.0,True,dimension
Aiways,U6,Lithium-ion,CCS,FWD,SUV,China,JC - Medium,seats,5.0,5.0,True,other
Aiways,U6,Lithium-ion,CCS,FWD,SUV,China,JC - Medium,length_mm,4805.0,4805.0,True,dimension
Aiways,U6,Lithium-ion,CCS,FWD,SUV,China,JC - Medium,width_mm,1880.0,1880.0,True,dimension
Aiways,U6,Lithium-ion,CCS,FWD,SUV,China,JC - Medium,height_mm,1641.0,1641.0,True,dimension
Aiways,U6,Lithium-ion,CCS,FWD,SUV,China,JC - Medium,torque_nm_mapped,232.33203,232.33203,True,other
Aiways,U6,Lithium-ion,CCS,FWD,SUV,China,JC - Medium,power_to_weight_ratio,0.2476190476190476,0.2476190476190476,True,performance
Aiways,U6,Lithium-ion,CCS,FWD,SUV,China,JC - Medium,efficiency,3.6,3.6,True,other
Alfa,Romeo Junior Elettrica 54 kWh,Lithium-ion,CCS,FWD,SUV,Italy,JB - Compact,top_speed_kmh,150.0,150.0,True,performance
Alfa,Romeo Junior Elettrica 54 kWh,Lithium-ion,CCS,FWD,SUV,Italy,JB - Compact,battery_capacity_kWh,50.8,50.8,True,other
Alfa,Romeo Junior Elettrica 54 kWh,Lithium-ion,CCS,FWD,SUV,Italy,JB - Compact,number_of_cells,102.0,102.0,True,other
Alfa,Romeo Junior Elettrica 54 kWh,Lithium-ion,CCS,FWD,SUV,Italy,JB - Compact,torque_nm,260.0,260.0,True,performance
Alfa,Romeo Junior Elettrica 54 kWh,Lithium-ion,CCS,FWD,SUV,Italy,JB - Compact,efficiency_wh_per_km,128.0,128.0,True,other
Alfa,Romeo Junior Elettrica 54 kWh,Lithium-ion,CCS,FWD,SUV,Italy,JB - Compact,range_km,320.0,320.0,True,performance
Alfa,Romeo Junior Elettrica 54 kWh,Lithium-ion,CCS,FWD,SUV,Italy,JB - Compact,acceleration_0_100_s,9.0,9.0,True,performance
Alfa,Romeo Junior Elettrica 54 kWh,Lithium-ion,CCS,FWD,SUV,Italy,JB - Compact,fast_charging_power_kw_dc,85.0,85.0,True,other
Alfa,Romeo Junior Elettrica 54 kWh,Lithium-ion,CCS,FWD,SUV,Italy,JB - Compact,towing_capacity_kg,1500.0,1500.0,True,other
Alfa,Romeo Junior Elettrica 54 kWh,Lithium-ion,CCS,FWD,SUV,Italy,JB - Compact,cargo_volume_l,400.0,400.0,True,dimension
