run_date,title,url,avg_label,avg_score,num_sentences,polarity_counts
2025-11-12,NewsNews,https://www.bbc.com/news/world/asia,NEGATIVE,0.47834729927557484,27,"{'positive': 7, 'negative': 20}"
2025-11-12,NewsNews,https://www.bbc.com/news/world/asia/china,NEGATIVE,0.473641530327175,23,"{'positive': 6, 'negative': 17}"
2025-11-12,NewsNews,https://www.bbc.com/news/world/asia/india,NEGATIVE,0.5080113388024844,26,"{'positive': 6, 'negative': 20}"
2025-11-12,NewsNews,https://www.bbc.com/news/world/australia,NEGATIVE,0.31682679609016134,27,"{'positive': 9, 'negative': 18}"
2025-11-12,NewsNews,https://www.bbc.com/news/world/europe,NEGATIVE,0.3974618850083187,29,"{'positive': 9, 'negative': 20}"
2025-11-13,NewsNews,https://www.bbc.com/news/topics/c2vdnvdg6xxt,NEGATIVE,0.8281463936523155,27,"{'positive': 2, 'negative': 25}"
2025-11-13,NewsNews,https://www.bbc.com/news/war-in-ukraine,NEGATIVE,0.6914935171604156,30,"{'positive': 4, 'negative': 26}"
2025-11-13,NewsNews,https://www.bbc.com/news/us-canada,NEGATIVE,0.6622964955038495,36,"{'positive': 6, 'negative': 30}"
2025-11-13,NewsNews,https://www.bbc.com/news/uk,NEGATIVE,0.6670984080859593,35,"{'positive': 6, 'negative': 29}"
2025-11-13,NewsNews,https://www.bbc.com/news/politics,NEGATIVE,0.6305013332102034,36,"{'positive': 6, 'negative': 30}"
2025-11-13,NewsNews,https://www.bbc.com/news/england,NEGATIVE,0.43612527541625196,39,"{'positive': 11, 'negative': 28}"
2025-11-13,NewsNews,https://www.bbc.com/news/northern_ireland,NEGATIVE,0.2456883430480957,45,"{'positive': 17, 'negative': 28}"
2025-11-13,NewsNews,https://www.bbc.com/news/northern_ireland/northern_ireland_politics,NEGATIVE,0.8126461505889893,12,"{'positive': 1, 'negative': 11}"
2025-11-13,NewsNews,https://www.bbc.com/news/scotland,NEGATIVE,0.38682104860033306,42,"{'positive': 13, 'negative': 29}"
2025-11-13,NewsNews,https://www.bbc.com/news/scotland/scotland_politics,NEGATIVE,0.530118421504372,19,"{'positive': 4, 'negative': 15}"
2025-11-13,NewsNews,https://www.bbc.com/news/wales,NEGATIVE,0.0007955903230711471,43,"{'positive': 21, 'negative': 22}"
2025-11-13,NewsNews,https://www.bbc.com/news/wales/wales_politics,NEGATIVE,0.8155474762121836,12,"{'positive': 1, 'negative': 11}"
2025-11-13,NewsNews,https://www.bbc.com/news/world/africa,NEGATIVE,0.24013230630329677,42,"{'positive': 16, 'negative': 26}"
2025-11-13,NewsNews,https://www.bbc.com/news/world/asia,NEGATIVE,0.3367293697816354,27,"{'positive': 9, 'negative': 18}"
2025-11-13,NewsNews,https://www.bbc.com/news/world/asia/china,NEGATIVE,0.44081586360931396,25,"{'positive': 7, 'negative': 18}"
2025-11-13,NewsNews,https://www.bbc.com/news/world/asia/india,NEGATIVE,0.35995683761743397,26,"{'positive': 8, 'negative': 18}"
2025-11-13,NewsNews,https://www.bbc.com/news/world/australia,NEGATIVE,0.4424235997376619,27,"{'positive': 7, 'negative': 20}"
2025-11-13,NewsNews,https://www.bbc.com/news/world/europe,NEGATIVE,0.395766951640447,30,"{'positive': 9, 'negative': 21}"
